深圳市曼克科技有限公司	外贸业务员  急
深圳市优可新科技有限公司	外贸业务员/外贸销售（轻松月薪过万）
深圳蓝尚饰品有限公司	亚马逊运营助理
深圳市路径科技有限公司	外贸跟单员
深圳市辉拓电子有限公司	外贸业务  亚马逊运营  速卖通专员
深圳市德科泰电子有限公司	外贸业务员
深圳市世捷国际货运代理有限公司	外贸货代业务 国际货代（底薪+提成）
深圳中陇天包装科技有限公司	外贸跟单（西乡坪洲C出口附近）
深圳天俊镭射科技有限公司	外贸业务员
深圳市云数字科技有限公司	外贸 ebay销售 运营（高提成）
广东佳的美智能科技有限公司	外贸业务员
深圳市华普微电子有限公司	外贸跟单
深圳市时刻美科技有限公司	外贸客服
骏麟（深圳）贸易有限公司	五天双休社保+外贸业务助理
深圳市仁信自动化设备有限公司	高薪诚聘 外贸业务员
深圳市绘王动漫科技有限公司	外贸物流专员 / 助理 / 物流文员
深圳市瀚思通汽车电子有限公司	外贸/贸易专员/助理
深圳市富威盛电子有限公司	外贸业务员―(安防产品)
恒界时代科技（深圳）有限公司	外贸业务员（高薪）
优译有限公司	外贸经理/外贸主管
深圳市强易盛贸易有限公司	外贸销售助理
深圳市优威埃科技有限公司	外贸业务员
深圳市领拓创新电子有限公司	外贸主管/经理/智能家居
深圳市都伟力塑胶电子有限公司	（高薪急聘）外贸开发业务/专员
深圳市圳兴模具有限公司	外贸业务员
深圳市优桥科技有限公司	外贸跟单员--高薪急聘
深圳市汇一邦科技有限公司	外贸业务助理/应届生
深圳市成为信息技术有限公司	外贸商务助理
深圳市艾美莉化妆用品有限公司	外贸业务员
深圳市精正照明有限公司	外贸业务员
深圳市鑫洁雅清洁品有限公司	亚马逊销售 外贸销售 电商运营员
深圳市雅诗卡洛科技有限公司	外贸跟单员
深圳市百纳精通科技有限公司	海外销售部经理/外贸经理
珠海科域生物工程股份有限公司	外贸专员（医疗体外诊断设备）
深圳市莱可照明科技有限公司	外贸业务主管
深圳市创优世界电子商务有限公司	B2C外贸业务员 五险一金+高提成
深圳市同创新佳科技有限公司	外贸产品经理
深圳市元创意科技有限公司	外贸业务员 （日语）
深圳市优贝特科技有限公司	急聘 外贸跟单员
深圳市松发祥纸品有限公司	外贸业务员（底薪5000以上+提成+奖金）
鑫锋辉科技（深圳）有限公司	外贸销售专员
深圳丽鸿光电有限公司	诚聘外贸业务员（宝安石岩/周末双休）
FreeTek International Co.,Ltd.	外贸业务员 (业绩提成+利润提成)
深圳市小尔美科技有限公司	速卖通业务、B2C外贸业务员
百博金属材料（深圳）有限公司	外贸跟单员
深圳市领先康体实业有限公司	俄语外贸销售
深圳市盛达凯手袋服装有限公司	外贸业务助理
深圳市德柯电子商务有限公司	外贸仓库打包员
深圳市汇达发科技有限公司	外贸业务员
深圳市杰美克安防科技有限公司	外贸业务员
深圳市华凌安科技有限公司	外贸业务员（广东阿姨做饭）/（包住）
深圳市艾佳贸易有限公司	诚聘外贸业务/亚马逊销售（应届生优先)
深圳市杰信特科技有限公司	外贸业务员（ 周末双休）
深圳市鼎鑫伟业科技有限公司	外贸跟单助理
深圳市益加时尚科技有限公司	外贸销售工程师
深圳市骜途智能科技有限公司	外贸跟单员
深圳市艾思迈科技有限公司	日语外贸
深圳市深工新能源有限公司	外贸业务员
深圳市易生活健康电子有限公司	外贸业务/速卖通销售(高提成)
深圳市沃莓科技有限公司	外贸专员 外贸业务员 电商运营 高薪住宿 五险一金
深圳市富明威实业有限公司	外贸业务员/阿里巴巴国际站
源德盛塑胶电子（深圳）有限公司	外贸业务员
深圳市艾比利数码有限公司	alibaba国际站业务员/外贸跟单
深圳市畅达能科技有限公司	外贸助理   外贸业务    外贸专员
深圳市鹏龙利盛建材有限公司	外贸业务员
深圳市弗洛米科技有限公司	外贸助理--包吃包住
深圳市金斯达工贸有限公司	日语销售 日语外贸业务 日语翻译
深圳市完美显示科技有限公司	外贸专员
深圳市邦彦电子科技有限公司	PCB/PCBA/SMT外贸业务员
深圳市宝利源手袋皮具厂	外贸业务员（底薪+高提成+奖金）
深圳市劲麦商贸有限公司	Amazon外贸业务员（地铁口）
深圳市明为伟业科技有限公司	外贸业务员/外贸专员
深圳市艾鹏网络科技有限公司	外贸业务
深圳市圣亚国际物流有限公司	外贸专员（日语)
深圳市爱奇丽科技有限公司	外贸业务员/外贸助理
深圳市玛莱娜化妆用具厂	外贸
深圳十镁科技有限公司	外贸业务员/专员/客服
深圳市品智好科技有限公司	外贸销售/外贸专员
深圳市安鑫五金塑胶有限公司	外贸业务员
深圳市三号水产配送有限公司	国外采购/外贸专员
深圳市关键信息技术有限公司	外贸销售
